window_start,window_end,window,pv,uv,cart,buy
2017-11-26 04:05:00,2017-11-26 04:10:00,04:05~04:10,3548,3574,233,106
2017-11-26 04:10:00,2017-11-26 04:15:00,04:10~04:15,3499,3433,190,95
2017-11-26 04:15:00,2017-11-26 04:20:00,04:15~04:20,3495,3446,202,96
2017-11-26 04:20:00,2017-11-26 04:25:00,04:20~04:25,3581,3517,205,95
2017-11-26 04:25:00,2017-11-26 04:30:00,04:25~04:30,3678,3594,214,98
2017-11-26 04:30:00,2017-11-26 04:35:00,04:30~04:35,3614,3569,218,111
2017-11-26 04:35:00,2017-11-26 04:40:00,04:35~04:40,3821,3704,208,110
2017-11-26 04:40:00,2017-11-26 04:45:00,04:40~04:45,3814,3774,215,111
2017-11-26 04:45:00,2017-11-26 04:50:00,04:45~04:50,3860,3821,253,85
2017-11-26 04:50:00,2017-11-26 04:55:00,04:50~04:55,3954,3888,220,124
2017-11-26 04:55:00,2017-11-26 05:00:00,04:55~05:00,3945,3842,229,102
2017-11-26 05:00:00,2017-11-26 05:05:00,05:00~05:05,3945,3865,211,94
2017-11-26 05:05:00,2017-11-26 05:10:00,05:05~05:10,4023,3948,263,114
2017-11-26 05:10:00,2017-11-26 05:15:00,05:10~05:15,4014,3915,238,108
2017-11-26 05:15:00,2017-11-26 05:20:00,05:15~05:20,3981,3914,219,103
2017-11-26 05:20:00,2017-11-26 05:25:00,05:20~05:25,4101,3966,207,83
2017-11-26 05:25:00,2017-11-26 05:30:00,05:25~05:30,4173,4072,240,99
2017-11-26 05:30:00,2017-11-26 05:35:00,05:30~05:35,4078,4003,255,122
2017-11-26 05:35:00,2017-11-26 05:40:00,05:35~05:40,4091,4012,222,115
2017-11-26 05:40:00,2017-11-26 05:45:00,05:40~05:45,4068,3993,233,123
2017-11-26 05:45:00,2017-11-26 05:50:00,05:45~05:50,4069,3984,226,100
2017-11-26 05:50:00,2017-11-26 05:55:00,05:50~05:55,4054,3968,228,94
2017-11-26 05:55:00,2017-11-26 06:00:00,05:55~06:00,4052,3973,250,137
2017-11-26 06:00:00,2017-11-26 06:05:00,06:00~06:05,4120,4066,263,105
2017-11-26 06:05:00,2017-11-26 06:10:00,06:05~06:10,4313,4222,266,112
2017-11-26 06:10:00,2017-11-26 06:15:00,06:10~06:15,4263,4135,227,120
2017-11-26 06:15:00,2017-11-26 06:20:00,06:15~06:20,4161,4053,243,102
2017-11-26 06:20:00,2017-11-26 06:25:00,06:20~06:25,4271,4183,257,93
2017-11-26 06:25:00,2017-11-26 06:30:00,06:25~06:30,4066,4034,245,118
2017-11-26 06:30:00,2017-11-26 06:35:00,06:30~06:35,4213,4100,223,104
2017-11-26 06:35:00,2017-11-26 06:40:00,06:35~06:40,4338,4178,221,107
2017-11-26 06:40:00,2017-11-26 06:45:00,06:40~06:45,4307,4235,244,119
2017-11-26 06:45:00,2017-11-26 06:50:00,06:45~06:50,4166,4051,234,117
2017-11-26 06:50:00,2017-11-26 06:55:00,06:50~06:55,4249,4118,262,105
2017-11-26 06:55:00,2017-11-26 07:00:00,06:55~07:00,4371,4233,244,98
2017-11-26 07:00:00,2017-11-26 07:05:00,07:00~07:05,4357,4222,269,104
2017-11-26 07:05:00,2017-11-26 07:10:00,07:05~07:10,4365,4253,286,78
2017-11-26 07:10:00,2017-11-26 07:15:00,07:10~07:15,4359,4240,215,104
2017-11-26 07:15:00,2017-11-26 07:20:00,07:15~07:20,4387,4252,249,98
2017-11-26 07:20:00,2017-11-26 07:25:00,07:20~07:25,4372,4265,245,102
2017-11-26 07:25:00,2017-11-26 07:30:00,07:25~07:30,4509,4396,270,120
2017-11-26 07:30:00,2017-11-26 07:35:00,07:30~07:35,4213,4170,262,118
2017-11-26 07:35:00,2017-11-26 07:40:00,07:35~07:40,4327,4248,250,122
2017-11-26 07:40:00,2017-11-26 07:45:00,07:40~07:45,4233,4169,254,127
2017-11-26 07:45:00,2017-11-26 07:50:00,07:45~07:50,4459,4322,258,109
2017-11-26 07:50:00,2017-11-26 07:55:00,07:50~07:55,4341,4250,250,122
2017-11-26 07:55:00,2017-11-26 08:00:00,07:55~08:00,4374,4273,242,112
2017-11-26 08:00:00,2017-11-26 08:05:00,08:00~08:05,4227,4106,249,96
2017-11-26 08:05:00,2017-11-26 08:10:00,08:05~08:10,4419,4290,269,120
2017-11-26 08:10:00,2017-11-26 08:15:00,08:10~08:15,4360,4249,278,97
2017-11-26 08:15:00,2017-11-26 08:20:00,08:15~08:20,4376,4284,249,134
2017-11-26 08:20:00,2017-11-26 08:25:00,08:20~08:25,4321,4208,247,114
2017-11-26 08:25:00,2017-11-26 08:30:00,08:25~08:30,4365,4219,247,99
2017-11-26 08:30:00,2017-11-26 08:35:00,08:30~08:35,4375,4240,251,92
2017-11-26 08:35:00,2017-11-26 08:40:00,08:35~08:40,4361,4244,266,107
2017-11-26 08:40:00,2017-11-26 08:45:00,08:40~08:45,4362,4271,290,110
2017-11-26 08:45:00,2017-11-26 08:50:00,08:45~08:50,4598,4397,245,96
2017-11-26 08:50:00,2017-11-26 08:55:00,08:50~08:55,4407,4358,285,120
2017-11-26 08:55:00,2017-11-26 09:00:00,08:55~09:00,4381,4222,251,96
2017-11-26 09:00:00,2017-11-26 09:05:00,09:00~09:05,4152,4107,242,119
2017-11-26 09:05:00,2017-11-26 09:10:00,09:05~09:10,4201,4097,259,104
2017-11-26 09:10:00,2017-11-26 09:15:00,09:10~09:15,4183,4057,249,85
2017-11-26 09:15:00,2017-11-26 09:20:00,09:15~09:20,4183,4051,256,89
2017-11-26 09:20:00,2017-11-26 09:25:00,09:20~09:25,4046,3959,263,108
2017-11-26 09:25:00,2017-11-26 09:30:00,09:25~09:30,4044,3925,234,105
2017-11-26 09:30:00,2017-11-26 09:35:00,09:30~09:35,3997,3919,228,103
2017-11-26 09:35:00,2017-11-26 09:40:00,09:35~09:40,4077,3927,247,104
2017-11-26 09:40:00,2017-11-26 09:45:00,09:40~09:45,3845,3739,235,76
2017-11-26 09:45:00,2017-11-26 09:50:00,09:45~09:50,3974,3817,215,89
2017-11-26 09:50:00,2017-11-26 09:55:00,09:50~09:55,3829,3701,238,86
2017-11-26 09:55:00,2017-11-26 10:00:00,09:55~10:00,3761,3665,234,99
2017-11-26 10:00:00,2017-11-26 10:05:00,10:00~10:05,13,14,1,0
